Country,Year,Unemployment.x,GDP,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,Density,Urbanization,Population,log_GDP,Unemployment,Unemployment_lag
Bosnia and Herzegovina,2001,26.537,5800616572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952.331,1225.456,1415.096,1540.514,1480.624,1540.266,1785.289,2254.449,2699.054,2903.602,3306.785,4073.011,4984.537,4711.119,4633.861,5089.853,4773.164,5141.572,5252.939,4662.977,4875.228,5230.13,5859.283,5867.26,5800.481,6800.487,7059.993,7778.298,8317.402,8873.81,9438.018,9931.027,10414.108,64,1605144,3301000,22.481230054365994,26.537,26.537
Belarus,2001,11.537,12354820144,0,0,0,0,0,0,0,0,0,0,0,0,1252.792,1114.104,1533.721,1034.931,1429.059,1396.112,1514.669,1210.965,1079.61,1283.273,1524.49,1873.667,2450.9,3221.463,3968.753,4887.275,6581.175,5345.325,6025.686,6478.889,6948.345,7995.733,8337.145,5958.838,5037.854,5778.564,6351.76,6831.516,6515.654,7294.902,7868.911,7477.293,7238.1,7307.876,7515.311,7830.442,8182.806,47,7482982,9466856,23.237312118935822,11.537,11.537
Belize,2001,9.07,1163000000,1531.072,1591.796,1561.334,1601.159,1739.315,1678.501,1777.102,2025.184,2346.018,2636.263,2907.089,3087.305,3484.902,3662.856,3657.187,3781.398,3835.414,3773.429,3833.322,4011.618,4468.235,4542.266,4694.034,4818.84,5028.238,5153.514,5431.611,5676.576,5635.733,5334.144,5392.038,5479.151,5584.834,5803.384,5957.136,6001.658,5975.323,5894.291,5847.778,5916.225,4935.56,5792.136,6757.498,7141.538,7330.076,7456.985,7586.091,7717.433,7851.048,17,179039,390353,20.874268710482937,9.07,9.07
Bolivia,2001,2.479,8141517339,695.535,615.66,668.55,619.896,631.152,668.921,640.94,683.625,712.146,715.525,723.431,776.711,803.547,793.646,805.183,886.368,956.965,1006.102,1057.72,1010.58,994.617,949.383,904.851,908.203,968.545,1037.176,1226.845,1383.894,1729.369,1769.441,1972.684,2368.523,2635.933,2938.421,3114.966,3069.319,3110.874,3388.523,3588.089,3591.403,3172.556,3449.384,3705.266,3857.843,4045.386,4232.194,4423.803,4628.612,4842.902,11,8033035,11513100,22.820242404872108,2.479,2.479
Brazil,2001,10.65,559984000000,1203.615,1353.019,1415.339,1110.691,1082.233,1682.789,1913.312,2042.86,2240.525,3021.975,3108.808,2717.508,2561.124,2828.455,3547.02,4923.871,5281.678,5399.969,5199.453,3567.631,3864.917,3256.18,2926.341,3165.195,3750.129,4938.537,6066.958,7572.61,9096.943,8851.059,11578.7,13631.421,12782.844,12752.255,12601.257,9182.996,9117.56,10419.576,9629.603,9364.237,7344.529,8165.637,9455.328,10412.997,11029.175,11441.81,11933.778,12617.438,13230.077,25,183241641,212559417,27.051174048838863,10.65,10.65
Barbados,2001,9.85,3054500000,4036.509,4427.056,4611.693,4882.788,5308.313,5539.558,6062.784,6653.718,7052.007,7776.714,7772.174,7777.866,7464.866,7886.782,8194.382,8414.115,8938.565,9412.367,10573.109,11039.097,11337.027,11284.369,11442.562,11788.654,12612.206,13939.669,15334.007,16925.584,17254.317,16036.377,16203.334,16599.014,16371.966,16556.11,16572.331,16623.566,16957.431,17435.312,17795.112,18540.379,16227.217,16782.075,19647.869,21442.447,22888.902,24175.489,25404.737,26599.905,27765.927,668,89431,287025,21.839881750054097,9.85,9.85
Brunei Darussalam,2001,5.694,5601020247,0,0,0,0,0,21770.731,14544.374,16561.019,15281.058,16683.224,19428.846,20171.327,20679.723,20430.168,21350.36,24895.613,24460.83,23344.446,17294.914,18237.075,20473.284,18646.04,19037.814,20975.54,24759.511,29459.699,34869.24,36678.272,42529.703,31287.341,35437.251,47092.346,47776.368,44865.244,41947.487,31353.779,27321.997,28443.168,31074.01,29865.278,27174.73,31781.303,37850.978,34383.527,35813.101,36841.59,38049.915,39627.06,41177.079,NA,NA,NA,22.446214605057772,5.694,5.694
Bhutan,2001,1.9,461479580.2,301.912,317.384,325.479,343.169,346.705,349.039,382.259,447.284,496.565,483.64,514.626,446.274,442.838,470.84,484.426,569.737,594.213,654.919,701.797,716.174,758.308,767.831,813.421,950.504,1059.205,1215.288,1278.66,1548.106,1936.306,1797.535,2097.54,2511.435,2592.37,2609.758,2546.857,2767.781,2857.443,3137.633,3413.308,3322.527,3247.926,3245.411,3491.984,3500.486,3691.885,3954.424,4261.611,4479.311,4729.404,20,317538,727145,19.949948364341058,1.9,1.9
Botswana,2001,18.54,5489608300,1219.569,1057.067,1075.452,1145.987,1097.548,985.391,1288.644,1947.606,2439.381,2628.077,2797.478,2718.95,2729.751,2674.397,2802.477,3084.8,3087.859,3071.641,2886.26,3188.541,3290.347,3099.104,3005.538,4088.461,4743.633,5194.705,5142.914,5371.808,5345.848,4938.25,6041.732,7080.778,6392.987,6436.603,6844.033,5869.738,6411.552,6705.341,6947.818,6679.188,5863.182,7238.796,7737.655,7758.371,8067.193,8499.7,9025.803,9512.501,10073.29,4,1616550,2346179,22.426122742017185,18.54,18.54
Central African Republic,2001,5.333,932648604.4,313.369,316.495,298.747,279.719,265.441,340.227,431.342,465.181,490.939,474.879,539.656,502.896,489.786,418.922,268.106,340.988,298.443,285.804,296.103,290.99,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,551.028,566.199,380.304,424.67,377.476,402.053,450.744,488.553,480.145,494.489,525.164,490.94,539.24,572.9,600.386,626.694,648.491,672.103,8,1982064,4745185,20.653539058072447,5.333,5.333
Canada,2001,7.22,738963000000,11281.422,12396.666,12543.938,13493.198,13947.358,14185.922,14539.75,16408.139,19041.182,20842.455,21572.137,21885.57,20984.778,20210.452,20024.581,20706.725,21325.69,21930.485,21046.556,22340.553,24296.721,23859.714,24279.186,28338.745,32176.593,36439.62,40558.897,44716.985,46773.837,40990.625,47627.345,52285.937,52744.004,52708.61,51020.843,43626.47,42382.635,45191.993,46625.859,46449.962,43383.713,52387.812,55036.52,53246.981,55527.987,57899.394,59838.169,61739.89,63759.102,4,30628482,36991981,27.328513688982188,7.22,7.22
Central Europe and the Baltics,2001,13.22563673,468616000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.873049506696702,13.22563673,13.22563673
Switzerland,2001,2.49,286580000000,19426.638,17699.844,18027.725,17865.396,17019.366,17187.864,24529.567,30520.621,32794.286,31440.365,39842.782,39811.005,40883.18,39375.507,43226.544,50292.099,48170.561,41628.731,42724.371,41759.218,38976.036,39831.997,42658.5,49520.417,54772.692,56378.928,59217.075,65370.159,74665.575,71898.31,76822.061,90938.465,86283.22,87878.542,89279.52,84230.676,82577.038,82584.384,85546.669,84474.469,86109.53,93700.472,93657.234,102865.569,110246.107,114725.257,120285.438,124458.138,130316.085,219,6332428,8574832,26.381283566234867,2.49,2.49
Channel Islands,2001,5.545,6232906290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.553108560166283,5.545,5.545
Chile,2001,10.39,71517267768,2598.159,3025.972,2219.964,1774.676,1698.949,1434.434,1515.068,1756.21,2035.335,2305.635,2521.569,2849.743,3392.088,3572.096,4058.557,5153.88,5387.405,5799.339,5475.546,4985.768,5099.922,4608.057,4479.771,4824.87,6183.906,7558.009,9410.392,10447.116,10759.738,10176.733,12723.064,14560.249,15316.01,15740.391,14582.85,13494.489,13722.878,15003.77,15755.003,14567.988,13067.742,16092.149,15166.472,17253.752,17647.269,18433.623,19210.04,19960.757,20773.528,26,16610135,18952038,24.993204764732948,10.39,10.39
China,2001,3.8,1339400000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,842933962,1397715000,27.92324286842236,3.8,3.8
Cote d'Ivoire,2001,4.854,16810537038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.545271731387857,4.854,4.854
Cameroon,2001,7.46,10953485345,1004.846,1106.193,1031.862,1012.33,1041.933,1059.933,1344.534,1514.218,1493.9,1292.834,1255.123,1357.676,1207.539,1222.984,808.04,745.55,808.211,794.939,772.304,765.544,660.382,687.404,756.14,949.02,1089.418,1101.546,1147.497,1277.667,1439.39,1409.942,1353.407,1464.888,1404.412,1527.773,1604.627,1382.65,1412.866,1468.929,1585.96,1533.161,1539.354,1667.318,1587.953,1721.954,1807.368,1891.033,1957.996,2017.335,2081.433,56,14741256,25876380,23.116923538910417,7.46,7.46
"Congo, Dem. Rep.",2001,2.928,7438189100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.729893255627058,2.928,2.928
"Congo, Rep.",2001,20.002,2796704603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.75170763350451,20.002,20.002
Colombia,2001,15.04,98200641189,1682.427,1792.984,1878.86,1827.905,1767.893,1623.658,1592.848,1624.054,1714.91,1694.091,1691.106,1712.347,1986.543,2209.203,2726.817,3035.313,3137.068,3399.33,3090.903,2673.665,2535.477,2461.328,2424.349,2313.535,2827.173,3493.976,3836.672,4834.416,5622.109,5330.795,6498.597,7518.304,8237.306,8409.688,8312.056,6337.038,6037.126,6577.287,6923.64,6540.141,5363.067,6239.269,6658.119,6975.868,7087.114,7333.592,7642.291,7976.578,8325.489,46,40827302,50339443,25.310278581705067,15.04,15.04
Comoros,2001,4.704,378512024.1,684.569,584.519,541.617,513.524,490.137,482.697,629.744,741.276,772.133,731.08,868.945,895.707,955.474,916.695,660.355,806.805,789.145,714.272,701.452,703.067,628.071,675.05,757.399,949.68,1055.357,1085.659,1110.984,1251.857,1403.796,1351.145,1322.638,1450.159,1403.417,1500.731,1505.178,1231.135,1256.035,1300.566,1386.014,1359.75,1357.291,1395.028,1294.354,1377.022,1406.205,1440.587,1480.295,1512.776,1542.586,467,248152,850886,19.751758398104695,4.704,4.704
Cabo Verde,2001,11.17,563090488.9,541.435,522.81,517.666,499.536,466.312,476.329,645.817,783.24,861.862,853.014,957.369,974.873,1062.47,1046.265,1180.486,1378.161,1385.771,1322.336,1376.757,1541.831,1399.088,1387.33,1501.545,2051.814,2295.724,2359.62,2623.337,3391.227,3985.213,3727.309,3632.185,4028.638,3722.1,3900.957,3878.774,3283.571,3438.763,3596.388,3811.549,4053.646,3359.53,3665.199,4048.436,4502.784,4790.431,5062.449,5349.525,5627.079,5917.426,NA,NA,NA,20.148950899476624,11.17,11.17
Costa Rica,2001,5.92,15976174337,2108.75,1111.35,1071.935,1257.355,1421.164,1478.366,1611.323,1612.564,1598.038,1763.481,1880.75,2305.412,2684.089,2926.911,3110.155,3336.709,3277.614,3450.907,3653.154,3715.408,3941.14,4041.944,4122.829,4227.819,4483.59,4756.337,5309.271,6194.045,6993.896,6879.266,8268.859,9270.571,10107.452,10764.529,10853.638,11635.197,11986.918,12185.259,12428.924,12691.126,12163.927,12472.833,13074.905,16213.262,17249.418,18074.587,18894.921,19745.08,20586.996,100,4041885,5047561,23.49436434543153,5.92,5.92
Caribbean small states,2001,9.359231158,35575792426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.294931255473966,9.359231158,9.359231158
Cuba,2001,4.08,31682400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,8739135,11333483,24.179027158598934,4.08,4.08
Cyprus,2001,3.98,10397897086,4549.59,4352.502,4452.666,4399.223,4575.652,4824.674,6057.903,7188.216,8204.3,8635.765,10359.998,10413.726,12158.597,11342.407,12525.318,15396.919,15260.553,14323.919,15181.803,15379.994,14464.816,14905.024,16188.394,20389.178,23969.818,25527.252,27448.569,31774.426,36009.56,32650.09,31521.893,32910.616,29075.269,27671.331,27076.806,23507.588,24802.599,26834.665,29630.487,29624.708,28141.95,31726.322,31459.344,34790.581,36975.731,38870.112,40759.645,42489.557,44213.156,131,800708,1198575,23.06486941937867,3.98,3.98
Czechia,2001,7.99,67808695574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.939956276972843,7.99,7.99
Germany,2001,7.77,1945790000000,11109.741,9329.591,9014.978,9025.206,8537.765,8678.853,12387.01,15411.529,16514.654,16232.121,20249.138,23453.063,26538.126,25602.881,27233.717,31829.61,30664.393,27170.747,27528.158,26984.243,23924.876,23869.773,25460.334,30668.849,34534.814,35020.197,36894.468,42299.862,46367.716,42338.844,42379.71,46697.376,43883.393,46299.227,48035.95,41107.096,42124.196,44636.833,47961.181,46810.283,46711.984,51460.987,48756.309,52823.575,56036.84,59134.893,61807.178,63592.903,65212.393,240,64324835,83132799,28.296689180200197,7.77,7.77
Djibouti,2001,28.52,572417440.8,0,0,0,0,0,0,0,0,0,0,1076.215,1070.407,1091.835,1058.462,1109.77,1109.097,1078.124,1068.48,1061.623,1084.925,1088.219,1106.677,1121.167,1160.467,1212.849,1271.217,1359.487,1478.419,1692.43,1722.341,1837.212,2038.56,2190.283,2314.559,2470.925,2652.513,2803.689,2926.153,3038.268,3172.748,3223.83,3378.403,3604.101,3761.241,4026.415,4300.275,4573.431,4866.029,5179.439,43,758549,973560,20.16537907478406,28.52,28.52
Denmark,2001,4.16,164791000000,13886.37,12076.174,11801.273,11852.891,11561.767,12259.279,17215.426,21349.948,22528.114,21913.155,26920.581,27052.653,29622.474,27640.496,30050.878,35471.255,35732.689,32897.57,33426.974,33492.354,30798.717,30806.607,33275.556,40512.045,46571.283,48872.095,52121.249,58641.193,64531.119,58286.537,58177.162,61864.093,58623.414,61325.575,62729.499,53478.495,54862.848,57772.553,61724.492,59678.596,60926.877,69466.552,68294.907,71402.141,72940.263,75583.891,78430.826,81237.153,84180.109,137,5119978,5818553,25.827943841280028,4.16,4.16
Dominican Republic,2001,7.26,25601824419,1534.317,1677.447,1545.099,1562.13,2397.598,1022.611,1212.354,1245.272,1113.835,1230.744,1123.244,1365.232,1573.686,1741.669,1916.439,2141.061,2309.916,2495.032,2658.543,2674.828,2894.303,3007.381,3158.393,2460.554,2540.849,4008.356,4188.715,4803.473,5194.799,5151.172,5688.751,6063.35,6274.865,6413.934,6805.662,7139.507,7521.268,7874.941,8340.961,8595.18,7553.509,8962.314,10711.156,11248.789,11825.004,12587.301,13405.066,14248.56,15145.686,225,8787475,10738958,23.96592945225979,7.26,7.26
Algeria,2001,27.3,54744698044,2268.607,2305.505,2254.328,2316.679,2432.717,2753.697,2698.915,2705.111,2143.742,2127.866,2473.512,1819.984,1873.422,1894.946,1542.974,1499.143,1643.265,1658.732,1633.09,1630.071,1794.695,1768.577,1806.86,2128.386,2636.479,3141.027,3508.959,3986.564,4943.502,3890.524,4480.719,5447.6,5575.653,5477.055,5466.329,4153.322,3918.941,4014.707,4106.997,3953.402,3321.601,3659.709,4306.82,4874.706,5130.36,5243.056,5335.671,5355.284,5365.19,18,31510100,43053054,24.725946361574792,27.3,27.3
East Asia & Pacific (excluding high income),2001,3.839633218,1847020000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.244594645457354,3.839633218,3.839633218
Early-demographic dividend,2001,7.270152871,3357010000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.842071812772172,7.270152871,7.270152871
East Asia & Pacific,2001,3.949169924,7788980000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.68373103013935,3.949169924,3.949169924
Europe & Central Asia (excluding high income),2001,10.20908106,655068000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.208004883986966,10.20908106,10.20908106
Europe & Central Asia,2001,9.084218264,10167200000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.95018796851427,9.084218264,9.084218264
Ecuador,2001,4.25,24468324000,2097.141,2087.382,2026.375,1732.499,1794.733,2044.313,1461.92,1332.147,1234.671,1182.529,1173.126,1286.617,1375.712,1572.842,1858.323,1980.373,2037.13,2253.233,2257.861,1598.768,1461.838,1909.424,2180.386,2434.977,2700.118,3025.012,3351.476,3588.311,4267.473,4241.938,4633.247,5192.875,5664.886,6030.502,6347,6099.351,6046.302,6216.606,6318.477,6260.603,5670.33,5978.915,6389.424,6500.047,6630.077,6769.741,6924.376,7127.866,7335.584,71,11116711,17373662,23.920645220024248,4.25,4.25
"Egypt, Arab Rep.",2001,9.26,96684636119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.294720344869457,9.26,9.26
Euro area,2001,8.348106142,6596590000000,0,0,0,0,0,0,0,0,0,0,0,19403.709,21320.845,19289.703,20305.942,23907.717,24220.822,21702.671,22061.824,22046.82,20041.027,20285.207,22037.927,26997.512,30789.296,31756.198,33586.553,38527.676,42140.674,38320.873,37429.211,40426.457,37412.152,38951.153,39684.618,34212.154,34950.556,36938.566,39865.205,39000.77,37915.127,42404.398,40819.144,44566.391,46925.525,49066.739,50981.078,52480.132,53943.373,NA,NA,NA,29.517573964776048,8.348106142,8.348106142
Eritrea,2001,5.666,752371683.2,0,0,0,0,0,0,0,0,0,0,0,0,268.192,167.084,195.44,219.091,263.808,270.574,283.919,274.584,238.508,245.162,227.498,258.933,315.55,300.697,321.219,340.334,301.238,415.601,501.424,642.502,693.804,596.754,786.54,603.193,655.424,557.857,580.845,566.731,0,0,0,0,0,0,0,0,0,35,1149670,6333135,20.43874101938255,5.666,5.666
Spain,2001,10.35,627830000000,6128.024,5381.909,5171.535,4501.838,4471.654,4694.759,6477.301,8187.29,9598.667,10566.133,13693.638,14697.501,16013.155,13409.697,13419.62,15475.607,16095.75,14782.949,15457.11,15814.188,14761.108,15400.911,17097.916,21501.074,24932.129,26438.031,28414.133,32588.562,35484.39,32131.382,30566.877,31676.69,28344.913,29094.337,29537.627,25776.217,26549.363,28211.927,30438.338,29603.298,26968.374,30563.552,29799.745,33090.238,34932.613,36372.935,37578.479,38580.996,39618.83,94,37927409,47076781,27.165535266131638,10.35,10.35
Estonia,2001,13.13,6254649539,0,0,0,0,0,0,0,0,0,0,0,0,0,1194.189,1711.271,2721.005,3379.95,3686.89,4096.127,4151.432,4084.938,4516.219,5358.418,7216.265,8923.191,10426.689,12657.064,16764.936,18273.297,14756.39,14696.814,17484.728,17414.24,19056.283,20253.974,17403.806,18290.293,20430.567,23176.358,23584.26,23546.32,27716.897,28136.261,30998.324,33017.707,34976.48,37001.997,38852.932,40741.327,31,916024,1331824,22.556590950358757,13.13,13.13
Ethiopia,2001,3.298,8231326016,227.616,228.061,233.306,251.399,229.991,260.757,262.316,271.537,272.448,277.391,284.636,304.279,310.307,186.665,160.749,151.063,163.498,155.766,137.366,128.578,136.056,131.565,123.874,132.704,152.16,181.49,218.637,266.894,350.57,373.199,341.103,377.694,510.537,548.869,622.592,707.975,790.789,822.704,839.861,948.851,969.014,974.185,1156.478,1473.36,1787.176,2047.666,2244.608,2415.007,2602.748,115,23788710,112078730,22.831212958462576,3.298,3.298
European Union,2001,9.196404147,7393880000000,8551.64,7525.547,7271.924,7090.118,6811.605,7000.014,9572.726,11705.068,12891.149,13071.482,15991.456,16961.557,18204.889,16315.755,17285.463,19552.684,19842.223,18201.041,18744.739,18628.008,17066.182,17303.545,18868.09,23119.124,26484.175,27544.487,29295.782,33836.256,37343.114,33722.254,33260.463,35927.873,33338.579,34762.658,35535.47,30697.965,31380.778,33313.276,36019.757,35289.773,34513.79,38842.426,37529.182,41114.208,43300.47,45374.572,47289.855,48846.217,50338.948,NA,NA,NA,29.631673746936123,9.196404147,9.196404147
Fragile and conflict affected situations,2001,5.885021565,524821000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.986323089019603,5.885021565,5.885021565
Finland,2001,10.29,129533000000,11257.795,10990.447,11036.936,10545.058,10889.934,11488.754,14998.341,18632.076,22122.56,24040.639,28489.569,25646.579,22496.237,17661.586,20429.387,26347.514,25833.03,24759.979,26074.066,26241.797,24379.783,25001.18,27008.262,32961.92,37816.081,39147.216,41308.623,48590.198,53897.91,47541.746,46647.002,51263.574,47850.555,50006.019,50434.791,42867.09,43865.756,46437.211,50032.02,48667.723,49168.162,53664.908,51029.52,54507.139,56157.015,58085.556,60209.948,62203.895,64324.699,18,4716888,5520314,25.587201511878135,10.29,10.29
Fiji,2001,4.798,1652462063,2056.073,2062.163,1941.771,1781.084,1828.856,1744.388,1954.085,1776.896,1672.492,1747.117,1959.194,2012.454,2208.958,2339.817,2590.933,2775.116,2975.914,2905.473,2282.246,2656.26,2286.992,2238.548,2467.527,3079.607,3601.622,3943.27,4041.487,4405.164,4535.432,3673.958,4004.674,4797.051,5017.72,5268.164,5611.185,5385.516,5620.575,6049.889,6272.733,6084.97,4926.673,4758.647,5474.303,6024.783,6490.3,6856.479,7210.779,7572.416,7943.205,49,505048,889953,21.225532172089224,4.798,4.798
France,2001,8.61,1377660000000,13069.505,11456.04,10822.037,10292.761,9697.432,10108.561,13947.316,16793.955,18240.997,18236.767,22490.289,22406.387,24590.746,23082.715,24262.184,27741.294,27720.861,25028.466,25818.37,25550.782,23212.45,23245.258,25137.402,30682.636,35016.219,36057.117,37795.916,43060.031,47155.211,43190.972,42178.577,45419.973,42372.071,44144.638,44616.455,37937.861,38348.507,40134.128,43060.59,41924.837,40529.093,45201.234,42349.887,46315.204,48222.644,50101.179,51799.719,53133.98,54445.159,119,54123364,67059887,27.951407523678398,8.61,8.61
Gabon,2001,17.234,5023265411,6093.615,5376.616,4930.527,4619.015,4346.388,4478.468,5735.355,4245.955,4581.144,4899.234,6815.634,5993.32,6015.511,5677.618,4293.942,4956.842,5552.917,5068.093,4161.617,4222.734,4477.321,4065.933,4210.284,5015.596,5837.617,6942.698,7271.093,8652.145,10418.276,7856.853,8933.306,10893.464,9903.41,9760.747,9746.786,7453.114,7082.218,7370.349,8198.56,8086.528,7276.301,9476.107,9770.921,8831.823,8969.103,9116.054,9338.729,9488.858,9737.749,9,1949694,2172579,22.337346039458335,17.234,17.234
United Kingdom,2001,4.7,1648770000000,10737.621,10442.314,9938.569,9464.699,8952.368,9499.687,11558.572,14337.544,17400.678,17668.685,20933.055,21762.326,22422.653,20041.695,21489.717,23204.632,24466.578,26788.332,28306.433,28793.321,28347.704,27897.127,30129.415,34516.913,40434.576,42170.81,44613.883,50457.549,47918.324,38969.675,39736.208,42147.693,42489.953,43492.461,47476.188,45085.336,41275.864,40666.831,43377.759,42797.258,40347.364,46421.611,45461.066,48912.776,52426.295,55731.923,59189.816,62613.31,65893.77,281,55908316,66834405,28.131050671306184,4.7,4.7
Georgia,2001,11.16,3219462780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.501,413.486,688.363,818.054,869.519,690.373,763.707,820.006,875.188,1034.533,1338.086,1682.527,2052.257,2700.417,3419.915,2890.71,3221.628,4003.46,4409.627,4622.549,4742.498,4017.622,4060.893,4358.594,4718.794,4693.66,4263.133,4995.154,6670.727,8164.861,8573.084,9330.625,10128.285,10985.871,11813.614,57,2196476,3720382,21.89248034407432,11.16,11.16
Ghana,2001,9.492,5314871684,3489.497,5537.473,6271.521,4114.248,1391.717,1213.391,1094.395,895.18,930.23,924.067,1045.595,1142.797,1102.843,881.079,793.796,918.741,950.015,945.584,1002.604,1012.277,606.501,630.698,714.42,860.469,973.287,1151.305,1320.283,1520.642,1688.077,1477.649,1757.045,2131.746,2197.908,2405.768,2003.714,1784.248,1982.239,2086.598,2275.772,2265.715,2274.572,2535.468,2251.822,2328.97,2241.865,2216.627,2304.593,2396.33,2493.963,137,17249054,30792608,22.393774706209946,9.492,9.492
