Country,Year,Unemployment.x,GDP,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,Density,Urbanization,Population,log_GDP,Unemployment,Unemployment_lag
Belgium,2000,6.59,236792000000,12529.348,10366.108,9128.584,8626.16,8244.846,8568.653,11873.806,14740.456,16008.638,16098.158,20119.935,20563.729,22823.029,21723.624,23624.467,28458.469,27535.287,24878.749,25399.222,25309.057,23136.511,23067.163,25044.331,30707.665,35497.552,36945.499,38841.785,44496.791,48493.137,44892.228,44448.17,47564.381,44824.163,46848.612,47897.037,41147.261,42076.398,44274.073,47685.347,46783.005,45545.233,51472.103,49843.163,53656.833,56084.96,57954.658,59593.618,61007.28,62537.297,383,11259082,11484055,26.190447955601794,6.59,6.59
Benin,2000,0.843,3519991440,614.04,401.43,385.574,330.58,341.857,359.165,448.478,519.04,527.911,476.325,562.898,558.099,601.645,560.707,375.963,495.048,524.067,489.136,510.571,542.24,503.22,508.351,563.98,698.234,783.763,806.35,837.176,944.755,1098.826,1060.566,1010.314,1099.221,1113.274,1214.313,1251.827,1041.758,1049.531,1094.888,1194.023,1171.015,1239.74,1360.386,1303.379,1449.112,1540.137,1624.387,1711.327,1792.845,1877.354,108,5648149,11801151,21.981724394735277,0.843,0.843
Burkina Faso,2000,2.635,2968370087,338.66,287.809,261.617,233.14,203.12,218.83,279.032,315.981,339.602,330.706,381.987,376.497,393.316,365.7,214.467,258.491,273.892,252.618,281.638,293.779,249.18,260.445,286.551,363.727,405.267,443.189,457.366,516.811,621.822,603.222,627.783,727.484,734.438,762.315,767.569,632.191,664.926,714.64,779.509,772.227,833.783,891.781,831.658,888.029,952.37,1004.579,1054.409,1096.5,1140.804,76,6092349,20321378,21.81127884686354,2.635,2.635
Bangladesh,2000,3.27,53369787319,311.093,322.318,294.02,277.489,303.3,317.511,318.062,339.17,355.592,378.07,398.05,402.354,400.912,395.867,411.91,450.133,471.268,479.354,488.077,491.461,497.807,497.045,499.906,533.545,569.732,594.253,610.469,668.54,760.65,841.252,935.755,1032.313,1057.884,1176.16,1340.289,1495.538,1679.021,1839.755,1991.739,2154.227,2270.348,2497.741,2730.846,2621.288,2646.005,2945.794,3286.281,3680.416,4111.286,1265,60987417,167310838,24.70051064225528,3.27,3.27
Bulgaria,2000,16.22,13245990274,4286.209,4609.426,4793.655,4913.838,5210.542,4458.09,3946.885,4581.216,7506.638,7678.816,3407.07,336.65,1380.594,758.059,1348.67,2284.824,1494.786,1386.466,1854.468,1689.293,1625.322,1797.392,2090.683,2710.577,3370.382,3869.588,4477.028,5815.474,7161.75,6878.061,6753.335,7872.043,7454.003,7702.783,7925.691,7098.587,7596.976,8414.389,9489.657,9914.386,10170.723,12300.185,13821.205,16086.569,17319.642,18555.349,19671.142,20744.294,21862.604,64,5256027,6975761,23.30696072274953,16.22,16.22
Bahrain,2000,1.117,9062898936,10189.612,11061.394,11221.699,11117.659,11163.436,10182.368,7695.805,8049.364,9602.789,9668.043,10179.632,10252.365,10536.823,11290.27,11777.073,12143.091,12298.65,12422.116,11565.971,12210.221,14214.58,13894.343,13501.551,14486.061,15963.978,17966.224,19267.567,20908.338,23236.055,19465.292,20827.719,24080.43,25434.451,25965.311,25398.315,22659.374,22641.276,23631.585,25149.47,26051.303,23516.919,26116.253,28781.493,28464.173,29080.64,29581.367,30050.678,30571.062,31138.399,2239,1467109,1501635,22.927454876682468,1.117,1.117
"Bahamas, The",2000,7.196,8076470000,12291.741,12496.221,13749.496,14961.6,15630.102,16801.08,17854.136,19329.928,19687.5,21818.62,20460.303,19767.715,19417.216,18979.006,19660.918,20271.249,20974.532,21951.756,23300.816,25780.485,26601.368,26971.273,28357.927,27896.338,28056.572,30030.89,30594.671,31498.523,30787.585,28793.341,28725.135,28365.859,29895.418,28695.885,30055.888,31576.619,31463.129,32471.737,33183.686,33888.774,25049.586,29230.943,32298.948,34370.86,35541.818,36499.714,37426.067,38324.312,39266.795,NA,NA,NA,22.812220732830905,7.196,7.196
Bosnia and Herzegovina,2000,26.189,5567774049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952.331,1225.456,1415.096,1540.514,1480.624,1540.266,1785.289,2254.449,2699.054,2903.602,3306.785,4073.011,4984.537,4711.119,4633.861,5089.853,4773.164,5141.572,5252.939,4662.977,4875.228,5230.13,5859.283,5867.26,5800.481,6800.487,7059.993,7778.298,8317.402,8873.81,9438.018,9931.027,10414.108,64,1605144,3301000,22.440261178874955,26.189,26.189
Belarus,2000,12.254,12736856828,0,0,0,0,0,0,0,0,0,0,0,0,1252.792,1114.104,1533.721,1034.931,1429.059,1396.112,1514.669,1210.965,1079.61,1283.273,1524.49,1873.667,2450.9,3221.463,3968.753,4887.275,6581.175,5345.325,6025.686,6478.889,6948.345,7995.733,8337.145,5958.838,5037.854,5778.564,6351.76,6831.516,6515.654,7294.902,7868.911,7477.293,7238.1,7307.876,7515.311,7830.442,8182.806,47,7482982,9466856,23.267765739853346,12.254,12.254
Belize,2000,10.869,1116000000,1531.072,1591.796,1561.334,1601.159,1739.315,1678.501,1777.102,2025.184,2346.018,2636.263,2907.089,3087.305,3484.902,3662.856,3657.187,3781.398,3835.414,3773.429,3833.322,4011.618,4468.235,4542.266,4694.034,4818.84,5028.238,5153.514,5431.611,5676.576,5635.733,5334.144,5392.038,5479.151,5584.834,5803.384,5957.136,6001.658,5975.323,5894.291,5847.778,5916.225,4935.56,5792.136,6757.498,7141.538,7330.076,7456.985,7586.091,7717.433,7851.048,17,179039,390353,20.83301670090553,10.869,10.869
